region,region_folder,clinic_folder,master_row,clinic_name,province,district,phone,suggested_logo_filename
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/001_row5_Amale clinic,5,Amale clinic,กรุงเทพมหานคร,ดอนเมือง,0842565499,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/002_row6_Vitawelle clinic,6,Vitawelle clinic,กรุงเทพมหานคร,ดอนเมือง,0621936295,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/003_row7_บิลเลี่ยนแคร์ คลินิก,7,บิลเลี่ยนแคร์ คลินิก,กรุงเทพมหานคร,ดอนเมือง,0945263636,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/004_row8_สตาร์ซีเครทคลินิกเวชกรรม,8,สตาร์ซีเครทคลินิกเวชกรรม,กรุงเทพมหานคร,ดอนเมือง,0804959292,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/005_row9_แพทย์รวิวรรณ ไฝสัมฤทธิ์,9,แพทย์รวิวรรณ ไฝสัมฤทธิ์,กรุงเทพมหานคร,ดอนเมือง,0969936541,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/006_row10_Harmonious Clinic,10,Harmonious Clinic,กรุงเทพมหานคร,บางเขน,0804516532,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/007_row11_Ravis Clinic,11,Ravis Clinic,กรุงเทพมหานคร,บางเขน,0626653289,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/008_row12_Time Saneh clinic,12,Time Saneh clinic,กรุงเทพมหานคร,บางเขน,0927245268,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/009_row13_จิระนันท์ ศิริวงศ์,13,จิระนันท์ ศิริวงศ์,กรุงเทพมหานคร,บางเขน,0984422462,logo.png
กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล,/Users/chamacbook/Desktop/KNA/dep/outputs/clinic_logos_by_region/01_กรุงเทพและปริมณฑล/010_row14_ชนากานต์คลินิก สมุทรปราการ,14,ชนากานต์คลินิก สมุทรปราการ,กรุงเทพมหานคร,บางเขน,0864096638,logo.png
